ClusterIndex,Probability,OffspringID,FatherID,MotherID
1,0.1745,01b_28_03_Plate4_H7,#1,01b_parent
1,0.1745,01b_20_02_Plate7_H6,#2,01b_parent
1,0.1745,01b_20_05_Plate7_G12,#3,01b_parent
1,0.1745,01b_20_03_Plate5_G7,#4,01b_parent
1,0.1745,01b_32_04_Plate3_G5,#5,01b_parent
1,0.1745,01b_36_03_Plate7_F10,#6,01b_parent
1,0.1745,01b_24_04_Plate4_F1,#7,01b_parent
1,0.1745,01b_28_01_Plate4_D7,#8,01b_parent
1,0.1745,01b_20_04_Plate3_D4,#9,01b_parent
1,0.1745,01b_36_04_Plate5_C8,#10,01b_parent
1,0.1745,01b_40_02_Plate2_C6,#11,01b_parent
1,0.1745,01b_32_01_Plate7_C4,#12,01b_parent
1,0.1745,01b_36_02_Plate6_C3,#13,01b_parent
1,0.1745,01b_28_02_Plate3_C3,#14,01b_parent
1,0.1745,01b_24_03_Plate6_C2,#15,01b_parent
1,0.1745,01b_28_04_Plate2_B12,#4,01b_parent
1,0.1745,01b_36_01_Plate2_B4,#16,01b_parent
1,0.1745,01b_40_04_Plate4_A11,#17,01b_parent
1,0.1745,01b_40_03_Plate3_A9,#18,01b_parent
1,0.1745,01b_24_02_Plate6_A7,#19,01b_parent
1,0.1745,01b_32_02_Plate3_A7,#20,01b_parent
1,0.1745,01b_40_01_Plate3_A4,#21,01b_parent
1,0.1745,01b_32_03_Plate1_G3,#22,01b_parent
1,0.1745,01b_24_01_Plate1_A2,#23,01b_parent
1,0.1745,01b_20_01_Plate1_H1,#24,01b_parent
1,0.1745,05b_28_04_Plate6_H12,#63,05b_parent
1,0.1745,05b_28_05_Plate6_H7,#64,05b_parent
1,0.1745,05b_32_05_Plate6_H4,#65,05b_parent
1,0.1745,05b_40_02_Plate6_H1,#66,05b_parent
1,0.1745,05b_36_06_Plate6_G8,#10,05b_parent
1,0.1745,05b_36_03_Plate2_F12,#65,05b_parent
1,0.1745,05b_36_07_Plate2_F6,#67,05b_parent
1,0.1745,05b_40_06_Plate3_F4,#68,05b_parent
1,0.1745,05b_32_03_Plate6_E5,#69,05b_parent
1,0.1745,05b_32_02_Plate5_E3,#70,05b_parent
1,0.1745,05b_40_05_Plate7_D12,#71,05b_parent
1,0.1745,05b_32_06_Plate3_D10,#72,05b_parent
1,0.1745,05b_28_06_Plate2_D9,#73,05b_parent
1,0.1745,05b_36_01_Plate2_D5,#74,05b_parent
1,0.1745,05b_36_05_Plate4_D2,#16,05b_parent
1,0.1745,05b_40_04_Plate4_C7,#75,05b_parent
1,0.1745,05b_32_01_Plate5_C5,#76,05b_parent
1,0.1745,05b_28_02_Plate4_B10,#77,05b_parent
1,0.1745,05b_40_01_Plate2_B7,#78,05b_parent
1,0.1745,05b_36_04_Plate2_B6,#10,05b_parent
1,0.1745,05b_28_07_Plate5_B5,#79,05b_parent
1,0.1745,05b_28_01_Plate7_B4,#80,05b_parent
1,0.1745,05b_36_02_Plate3_A12,#81,05b_parent
1,0.1745,05b_40_03_Plate3_A11,#82,05b_parent
1,0.1745,05b_32_04_Plate1_H5,#83,05b_parent
1,0.1745,05b_28_03_Plate1_D4,#70,05b_parent
1,0.1745,18a_36_03_Plate5_H10,#82,18a_parent
1,0.1745,18a_20_01_Plate6_H9,#181,18a_parent
1,0.1745,18a_32_01_Plate3_H8,#182,18a_parent
1,0.1745,18a_40_03_Plate7_H4,#183,18a_parent
1,0.1745,18a_24_03_Plate5_H3,#184,18a_parent
1,0.1745,18a_36_02_Plate5_G10,#185,18a_parent
1,0.1745,18a_20_03_Plate7_G2,#11,18a_parent
1,0.1745,18a_40_02_Plate6_F6,#186,18a_parent
1,0.1745,18a_20_05_Plate5_F3,#187,18a_parent
1,0.1745,18a_20_04_Plate7_E6,#74,18a_parent
1,0.1745,18a_32_03_Plate5_D12,#5,18a_parent
