ClusterIndex,Probability,OffspringID,FatherID,MotherID
1,0.7123,01b_20_01_Plate1_H1,#1,01b_parent
1,0.7123,01b_20_02_Plate7_H6,#2,01b_parent
1,0.7123,01b_20_03_Plate5_G7,#3,01b_parent
1,0.7123,01b_20_04_Plate3_D4,#4,01b_parent
1,0.7123,01b_20_05_Plate7_G12,#5,01b_parent
1,0.7123,01b_24_01_Plate1_A2,#6,01b_parent
1,0.7123,01b_24_02_Plate6_A7,#7,01b_parent
1,0.7123,01b_24_03_Plate6_C2,#8,01b_parent
1,0.7123,01b_24_04_Plate4_F1,#9,01b_parent
1,0.7123,01b_28_01_Plate4_D7,#10,01b_parent
1,0.7123,01b_28_02_Plate3_C3,#11,01b_parent
1,0.7123,01b_28_03_Plate4_H7,#12,01b_parent
1,0.7123,01b_28_04_Plate2_B12,#13,01b_parent
1,0.7123,01b_32_01_Plate7_C4,#11,01b_parent
1,0.7123,01b_32_02_Plate3_A7,#14,01b_parent
1,0.7123,01b_32_03_Plate1_G3,#15,01b_parent
1,0.7123,01b_32_04_Plate3_G5,#16,01b_parent
1,0.7123,01b_36_01_Plate2_B4,#17,01b_parent
1,0.7123,01b_36_02_Plate6_C3,#18,01b_parent
1,0.7123,01b_36_03_Plate7_F10,#19,01b_parent
1,0.7123,01b_36_04_Plate5_C8,#20,01b_parent
1,0.7123,01b_40_01_Plate3_A4,#21,01b_parent
1,0.7123,01b_40_02_Plate2_C6,#22,01b_parent
1,0.7123,01b_40_03_Plate3_A9,#23,01b_parent
1,0.7123,01b_40_04_Plate4_A11,#24,01b_parent
1,0.7123,04a_24_01_Plate3_A1,#45,04a_parent
1,0.7123,04a_24_02_Plate2_H11,#3,04a_parent
1,0.7123,04a_24_03_Plate1_F10,#46,04a_parent
1,0.7123,04a_24_04_Plate5_A6,#47,04a_parent
1,0.7123,04a_24_05_Plate5_G12,#8,04a_parent
1,0.7123,04a_28_01_Plate7_D2,#48,04a_parent
1,0.7123,04a_28_02_Plate4_A12,#49,04a_parent
1,0.7123,04a_28_03_Plate2_C11,#50,04a_parent
1,0.7123,04a_28_04_Plate5_D8,#10,04a_parent
1,0.7123,04a_28_05_Plate5_E10,#51,04a_parent
1,0.7123,04a_32_01_Plate7_B8,#52,04a_parent
1,0.7123,04a_32_02_Plate6_G6,#53,04a_parent
1,0.7123,04a_32_03_Plate6_B2,#54,04a_parent
1,0.7123,04a_32_04_Plate5_A9,#3,04a_parent
1,0.7123,04a_32_05_Plate2_C1,#55,04a_parent
1,0.7123,04a_36_01_Plate4_H12,#56,04a_parent
1,0.7123,04a_36_02_Plate2_A2,#57,04a_parent
1,0.7123,04a_36_03_Plate5_G6,#8,04a_parent
1,0.7123,04a_36_04_Plate5_C10,#58,04a_parent
1,0.7123,04a_36_05_Plate4_D11,#59,04a_parent
1,0.7123,04a_40_01_Plate1_C3,#58,04a_parent
1,0.7123,04a_40_02_Plate2_D12,#54,04a_parent
1,0.7123,04a_40_03_Plate3_B8,#60,04a_parent
1,0.7123,04a_40_04_Plate5_A1,#61,04a_parent
1,0.7123,06a_20_01_Plate4_A6,#86,06a_parent
1,0.7123,06a_20_02_Plate3_B4,#16,06a_parent
1,0.7123,06a_20_03_Plate4_D1,#87,06a_parent
1,0.7123,06a_20_04_Plate1_A8,#88,06a_parent
1,0.7123,06a_20_05_Plate3_E7,#89,06a_parent
1,0.7123,06a_24_01_Plate5_C3,#90,06a_parent
1,0.7123,06a_24_02_Plate1_C9,#24,06a_parent
1,0.7123,06a_24_03_Plate7_B1,20a_parent,06a_parent
1,0.7123,06a_24_04_Plate3_B1,#7,06a_parent
1,0.7123,06a_28_01_Plate4_E5,#91,06a_parent
1,0.7123,06a_28_02_Plate6_B4,#55,06a_parent
1,0.7123,06a_28_03_Plate7_C7,#92,06a_parent
1,0.7123,06a_28_04_Plate3_A3,#10,06a_parent
1,0.7123,06a_32_01_Plate1_A11,#93,06a_parent
1,0.7123,06a_32_02_Plate6_H8,#94,06a_parent
1,0.7123,06a_32_03_Plate5_G4,#95,06a_parent
1,0.7123,06a_32_04_Plate4_A7,#96,06a_parent
1,0.7123,06a_36_01_Plate5_E7,#56,06a_parent
1,0.7123,06a_36_02_Plate4_H6,#60,06a_parent
1,0.7123,06a_36_03_Plate4_H11,#97,06a_parent
1,0.7123,06a_36_04_Plate1_D12,#57,06a_parent
1,0.7123,06a_40_01_Plate3_G12,#98,06a_parent
1,0.7123,06a_40_02_Plate1_H4,20a_parent,06a_parent
1,0.7123,06a_40_03_Plate3_G9,#61,06a_parent
1,0.7123,06a_40_04_Plate7_B2,#48,06a_parent
1,0.7123,15b_24_01_Plate6_D9,#152,15b_parent
1,0.7123,15b_24_02_Plate6_E6,#153,15b_parent
1,0.7123,15b_24_03_Plate1_G12,#152,15b_parent
1,0.7123,15b_24_04_Plate5_F5,#154,15b_parent
1,0.7123,15b_24_05_Plate4_E12,#93,15b_parent
1,0.7123,15b_28_02_Plate2_B1,#152,15b_parent
1,0.7123,15b_28_03_Plate3_F10,#152,15b_parent
1,0.7123,15b_28_04_Plate3_H4,#152,15b_parent
1,0.7123,15b_28_05_Plate3_C1,#152,15b_parent
1,0.7123,15b_32_01_Plate6_E11,#152,15b_parent
1,0.7123,15b_32_02_Plate3_G2,#152,15b_parent
1,0.7123,15b_32_03_Plate1_B2,#152,15b_parent
1,0.7123,15b_32_04_Plate3_G11,#152,15b_parent
1,0.7123,15b_32_05_Plate5_B6,#155,15b_parent
1,0.7123,15b_36_01_Plate2_C3,#152,15b_parent
1,0.7123,15b_36_02_Plate5_B10,#152,15b_parent
1,0.7123,15b_36_03_Plate6_G4,#152,15b_parent
1,0.7123,15b_36_04_Plate2_E12,#156,15b_parent
1,0.7123,15b_36_05_Plate7_A4,#152,15b_parent
1,0.7123,15b_40_01_Plate3_G10,#152,15b_parent
1,0.7123,15b_40_02_Plate4_H8,#152,15b_parent
1,0.7123,15b_40_03_Plate6_E3,#152,15b_parent
1,0.7123,15b_40_04_Plate1_C4,#152,15b_parent
1,0.7123,20a_24_01_Plate3_H7,#202,20a_parent
1,0.7123,20a_24_02_Plate5_D7,06a_parent,20a_parent
1,0.7123,20a_24_03_Plate3_A2,06a_parent,20a_parent
1,0.7123,20a_24_04_Plate1_C10,#90,20a_parent
1,0.7123,20a_24_05_Plate2_E8,#16,20a_parent
1,0.7123,20a_28_01_Plate4_B12,#203,20a_parent
1,0.7123,20a_28_02_Plate6_C5,#14,20a_parent
1,0.7123,20a_28_03_Plate2_A11,#60,20a_parent
1,0.7123,20a_28_05_Plate4_H4,#204,20a_parent
1,0.7123,20a_32_01_Plate1_C12,#205,20a_parent
1,0.7123,20a_32_02_Plate7_H7,#206,20a_parent
1,0.7123,20a_32_03_Plate7_E10,#24,20a_parent
1,0.7123,20a_32_04_Plate7_D11,#155,20a_parent
1,0.7123,20a_32_05_Plate2_G10,#207,20a_parent
1,0.7123,20a_36_01_Plate6_A6,#208,20a_parent
1,0.7123,20a_36_02_Plate3_E8,#52,20a_parent
1,0.7123,20a_36_03_Plate1_C1,#19,20a_parent
1,0.7123,20a_36_04_Plate2_G9,06a_parent,20a_parent
1,0.7123,20a_36_05_Plate4_A3,#156,20a_parent
1,0.7123,20a_40_01_Plate4_G12,#19,20a_parent
1,0.7123,20a_40_02_Plate1_E2,#98,20a_parent
1,0.7123,20a_40_03_Plate3_G7,#204,20a_parent
1,0.7123,20a_40_04_Plate5_A5,06a_parent,20a_parent
1,0.7123,25b_20_01_Plate6_F4,#6,25b_parent
1,0.7123,25b_20_02_Plate1_H7,#96,25b_parent
1,0.7123,25b_20_03_Plate7_E7,#154,25b_parent
1,0.7123,25b_20_04_Plate7_C11,#230,25b_parent
1,0.7123,25b_24_01_Plate6_D10,#48,25b_parent
1,0.7123,25b_24_02_Plate5_E1,#231,25b_parent
1,0.7123,25b_24_03_Plate2_E10,#232,25b_parent
1,0.7123,25b_24_04_Plate3_H11,#233,25b_parent
1,0.7123,25b_28_01_Plate4_C11,#233,25b_parent
1,0.7123,25b_28_02_Plate5_E11,#234,25b_parent
1,0.7123,25b_28_03_Plate1_E8,#235,25b_parent
1,0.7123,25b_28_04_Plate7_E5,#236,25b_parent
1,0.7123,25b_32_01_Plate1_D9,#50,25b_parent
1,0.7123,25b_32_02_Plate3_E10,#55,25b_parent
1,0.7123,25b_32_03_Plate5_A3,#92,25b_parent
1,0.7123,25b_32_04_Plate7_F6,#237,25b_parent
1,0.7123,25b_36_01_Plate1_H10,#238,25b_parent
1,0.7123,25b_36_02_Plate4_E9,#208,25b_parent
1,0.7123,25b_36_03_Plate4_D8,#18,25b_parent
1,0.7123,25b_36_04_Plate3_H10,#203,25b_parent
1,0.7123,25b_40_01_Plate3_H2,#202,25b_parent
1,0.7123,25b_40_02_Plate4_B1,#61,25b_parent
1,0.7123,25b_40_03_Plate2_F4,#13,25b_parent
1,0.7123,25b_40_04_Plate1_B11,#202,25b_parent
1,0.7123,29b_20_01_Plate7_E8,#156,29b_parent
1,0.7123,29b_20_02_Plate3_B9,#98,29b_parent
1,0.7123,29b_20_03_Plate1_G11,#258,29b_parent
1,0.7123,29b_20_04_Plate2_E2,#259,29b_parent
1,0.7123,29b_20_05_Plate7_H3,#237,29b_parent
1,0.7123,29b_24_01_Plate7_H11,#260,29b_parent
1,0.7123,29b_24_02_Plate4_H3,#47,29b_parent
1,0.7123,29b_24_03_Plate6_G1,#234,29b_parent
1,0.7123,29b_24_04_Plate1_F12,#238,29b_parent
1,0.7123,29b_28_01_Plate7_G7,#261,29b_parent
