FullSibshipIndex,Prob(Inc.),Prob(Exc.),Member1,Member2,Member3,Member4,Member5,Member6,Member7,Member8,Member9,Member10,Member11,Member12,Member13,Member14,Member15,Member16,Member17,Member18
1,1,0.0962,01b_20_01_Plate1_H1,,,,,,,,,,,,,,,,,
2,1,0.0962,01b_20_02_Plate7_H6,,,,,,,,,,,,,,,,,
3,1,0.0962,01b_20_03_Plate5_G7,,,,,,,,,,,,,,,,,
4,1,0.0962,01b_20_04_Plate3_D4,,,,,,,,,,,,,,,,,
5,1,0.0962,01b_20_05_Plate7_G12,,,,,,,,,,,,,,,,,
6,1,0.0962,01b_24_01_Plate1_A2,,,,,,,,,,,,,,,,,
7,1,0.0962,01b_24_02_Plate6_A7,,,,,,,,,,,,,,,,,
8,1,0.0962,01b_24_03_Plate6_C2,,,,,,,,,,,,,,,,,
9,1,0.0962,01b_24_04_Plate4_F1,,,,,,,,,,,,,,,,,
10,1,0.0962,01b_28_01_Plate4_D7,,,,,,,,,,,,,,,,,
11,0.9745,0.0939,01b_28_02_Plate3_C3,01b_32_01_Plate7_C4,,,,,,,,,,,,,,,,
12,1,0.0962,01b_28_03_Plate4_H7,,,,,,,,,,,,,,,,,
13,1,0.0962,01b_28_04_Plate2_B12,,,,,,,,,,,,,,,,,
14,1,0.0962,01b_32_02_Plate3_A7,,,,,,,,,,,,,,,,,
15,1,0.0962,01b_32_03_Plate1_G3,,,,,,,,,,,,,,,,,
16,1,0.0962,01b_32_04_Plate3_G5,,,,,,,,,,,,,,,,,
17,1,0.0962,01b_36_01_Plate2_B4,,,,,,,,,,,,,,,,,
18,1,0.0962,01b_36_02_Plate6_C3,,,,,,,,,,,,,,,,,
19,1,0.0962,01b_36_03_Plate7_F10,,,,,,,,,,,,,,,,,
20,1,0.0962,01b_36_04_Plate5_C8,,,,,,,,,,,,,,,,,
21,1,0.0962,01b_40_01_Plate3_A4,,,,,,,,,,,,,,,,,
22,1,0.0962,01b_40_02_Plate2_C6,,,,,,,,,,,,,,,,,
23,1,0.0962,01b_40_03_Plate3_A9,,,,,,,,,,,,,,,,,
24,1,0.0962,01b_40_04_Plate4_A11,,,,,,,,,,,,,,,,,
25,1,0.0962,02a_24_01_Plate1_C5,,,,,,,,,,,,,,,,,
26,0.9263,0.0893,02a_24_02_Plate4_F5,02a_24_07_Plate3_B12,,,,,,,,,,,,,,,,
27,1,0.0962,02a_24_03_Plate6_C9,,,,,,,,,,,,,,,,,
28,1,0.0962,02a_24_04_Plate5_G11,,,,,,,,,,,,,,,,,
29,0.9451,0.0911,02a_24_05_Plate4_H1,02a_32_04_Plate6_H11,,,,,,,,,,,,,,,,
30,1,0.0962,02a_24_06_Plate4_E1,,,,,,,,,,,,,,,,,
31,1,0.0962,02a_24_08_Plate5_D10,,,,,,,,,,,,,,,,,
32,1,0.0962,02a_24_09_Plate3_A6,,,,,,,,,,,,,,,,,
33,1,0.0962,02a_24_10_Plate7_D4,,,,,,,,,,,,,,,,,
34,0.4293,0.0414,02a_24_11_Plate3_E3,02a_28_03_Plate3_G1,,,,,,,,,,,,,,,,
35,1,0.0962,02a_24_12_Plate6_F5,,,,,,,,,,,,,,,,,
36,1,0.0962,02a_28_01_Plate1_F8,,,,,,,,,,,,,,,,,
37,1,0.0962,02a_28_02_Plate1_A7,,,,,,,,,,,,,,,,,
38,1,0.0962,02a_28_04_Plate6_A1,,,,,,,,,,,,,,,,,
39,1,0.0962,02a_28_05_Plate4_E4,,,,,,,,,,,,,,,,,
40,1,0.0962,02a_28_06_Plate3_C8,,,,,,,,,,,,,,,,,
41,1,0.0962,02a_28_07_Plate4_A10,,,,,,,,,,,,,,,,,
42,1,0.0962,02a_28_08_Plate2_E11,,,,,,,,,,,,,,,,,
43,1,0.0962,02a_28_09_Plate5_C12,,,,,,,,,,,,,,,,,
44,1,0.0962,02a_28_10_Plate7_G10,,,,,,,,,,,,,,,,,
45,1,0.0962,02a_32_03_Plate6_H5,,,,,,,,,,,,,,,,,
46,1,0.0962,02a_32_05_Plate7_E1,,,,,,,,,,,,,,,,,
47,1,0.0964,04a_24_01_Plate3_A1,,,,,,,,,,,,,,,,,
48,0.9111,0.088,04a_24_02_Plate2_H11,04a_32_04_Plate5_A9,,,,,,,,,,,,,,,,
