Unique.ID,Mother.colony,Density,Relatedness,Grid.position,X,Y,Inside.outside,Date,Age.days,Bifurcations,Zooids,Survival
2non,8,2,Non,18,3,1,Out,2-Dec-21,17,2,37,1
2non,7,2,Non,15,1,2,Out,2-Dec-21,17,2,39,1
4non,14,4,Non,2,4,4,Out,2-Dec-21,17,2,31,1
4non,21,4,Non,8,3,3,In,2-Dec-21,17,3,38,1
4non,2,4,Non,19,2,1,Out,2-Dec-21,17,0,1,1
4non,26,4,Non,17,4,1,Out,2-Dec-21,17,2,36,1
6non,18,6,Non,3,3,4,Out,2-Dec-21,17,0,1,1
6non,2,6,Non,1,5,4,Out,2-Dec-21,17,,,0
6non,7,6,Non,15,1,2,Out,2-Dec-21,17,0,2,1
6non,14,6,Non,12,4,2,In,2-Dec-21,17,0,2,1
6non,21,6,Non,20,1,1,Out,2-Dec-21,17,0,1,1
6non,11,6,Non,18,3,1,Out,2-Dec-21,17,0,6,1
8non,18,8,Non,3,3,4,Out,2-Dec-21,17,2,28,1
8non,24,8,Non,10,1,3,Out,2-Dec-21,17,0,2,1
8non,14,8,Non,7,4,3,In,2-Dec-21,17,1,17,1
8non,1,8,Non,6,5,3,Out,2-Dec-21,17,2,33,1
8non,19,8,Non,15,1,2,Out,2-Dec-21,17,0,7,1
8non,11,8,Non,12,4,2,In,2-Dec-21,17,1,22,1
8non,3,8,Non,19,2,1,Out,2-Dec-21,17,3,49,1
8non,2,8,Non,17,4,1,Out,2-Dec-21,17,,,0
10non,1,10,Non,5,1,4,Out,2-Dec-21,17,0,2,1
10non,8,10,Non,8,3,3,In,2-Dec-21,17,0,3,1
10non,3,10,Non,15,1,2,Out,2-Dec-21,17,0,2,1
10non,2,10,Non,13,3,2,In,2-Dec-21,17,0,2,1
10non,12,10,Non,12,4,2,In,2-Dec-21,17,0,2,1
10non,24,10,Non,11,5,2,Out,2-Dec-21,17,0,5,1
10non,14,10,Non,19,2,1,Out,2-Dec-21,17,1,21,1
10non,21,10,Non,18,3,1,Out,2-Dec-21,17,1,18,1
10non,18,10,Non,17,4,1,Out,2-Dec-21,17,2,23,1
10non,10,10,Non,16,5,1,Out,2-Dec-21,17,0,4,1
12non,21,12,Non,5,1,4,Out,2-Dec-21,17,0,2,1
12non,24,12,Non,4,2,4,Out,2-Dec-21,17,0,2,1
12non,7,12,Non,3,3,4,Out,2-Dec-21,17,2,26,1
12non,9,12,Non,1,5,4,Out,2-Dec-21,17,2,43,1
12non,12,12,Non,10,1,3,Out,2-Dec-21,17,0,2,1
12non,2,12,Non,18,3,1,Out,2-Dec-21,17,0,1,1
12non,8,12,Non,6,5,3,Out,2-Dec-21,17,1,26,1
12non,10,12,Non,15,1,2,Out,2-Dec-21,17,3,42,1
12non,14,12,Non,13,3,2,In,2-Dec-21,17,0,3,1
12non,1,12,Non,12,4,2,In,2-Dec-21,17,2,53,1
12non,18,12,Non,7,4,3,In,2-Dec-21,17,1,16,1
12non,13,12,Non,16,5,1,Out,2-Dec-21,17,2,40,1
14non,10,14,Non,5,1,4,Out,2-Dec-21,17,0,2,1
14non,14,14,Non,4,2,4,Out,2-Dec-21,17,0,2,1
14non,5,14,Non,1,5,4,Out,2-Dec-21,17,3,52,1
14non,18,14,Non,10,1,3,Out,2-Dec-21,17,0,2,1
14non,24,14,Non,6,5,3,Out,2-Dec-21,17,0,2,1
