Unique.ID,Mother.colony,Relatedness,Grid.position,X,Y,Position,Date,Age.days,Bifurcations,Zooids,Survival,Fertilized.ovicells,Ovicells.total
sib1_01,1,Sib,1,1,4,Out,31-Mar-22,26,0,15,1,,
sib1_02,1,Sib,3,3,4,Out,31-Mar-22,26,0,11,1,,
sib1_03,1,Sib,7,2,3,In,31-Mar-22,26,1,35,1,,
sib1_04,1,Sib,8,3,3,In,31-Mar-22,26,2,48,1,,
sib1_05,1,Sib,10,5,3,Out,31-Mar-22,26,2,88,1,,
sib1_06,1,Sib,12,2,2,In,31-Mar-22,26,2,64,1,,
sib1_07,1,Sib,14,4,2,In,31-Mar-22,26,2,87,1,,
sib1_08,1,Sib,17,2,1,Out,31-Mar-22,26,0,7,1,,
sib1_09,1,Sib,18,3,1,Out,31-Mar-22,26,2,50,1,,
sib1_10,1,Sib,20,5,1,Out,31-Mar-22,26,2,65,1,,
sib2_01,2,Sib,3,3,4,Out,31-Mar-22,26,2,91,1,,
sib2_02,2,Sib,4,4,4,Out,31-Mar-22,26,1,43,1,,
sib2_03,2,Sib,5,5,4,Out,31-Mar-22,26,2,81,1,,
sib2_04,2,Sib,7,2,3,In,31-Mar-22,26,2,105,1,,
sib2_05,2,Sib,10,5,3,Out,31-Mar-22,26,1,30,1,,
sib2_06,2,Sib,11,2,1,Out,31-Mar-22,26,1,42,1,,
sib2_07,2,Sib,12,2,2,In,31-Mar-22,26,1,26,1,,
sib2_08,2,Sib,14,4,2,In,31-Mar-22,26,2,95,1,,
sib2_09,2,Sib,16,1,1,Out,31-Mar-22,26,2,72,1,,
sib2_10,2,Sib,19,4,1,Out,31-Mar-22,26,1,41,1,,
sib3_01,3,Sib,2,2,4,Out,31-Mar-22,26,3,94,1,,
sib3_02,3,Sib,4,4,4,Out,31-Mar-22,26,1,31,1,,
sib3_03,3,Sib,6,1,3,Out,31-Mar-22,26,2,36,1,,
sib3_04,3,Sib,8,3,3,In,31-Mar-22,26,1,39,1,,
sib3_05,3,Sib,9,4,3,In,31-Mar-22,26,1,30,1,,
sib3_06,3,Sib,13,3,2,In,31-Mar-22,26,0,18,1,,
sib3_07,3,Sib,14,4,2,In,31-Mar-22,26,2,52,1,,
sib3_08,3,Sib,15,5,2,Out,31-Mar-22,26,1,48,1,,
sib3_09,3,Sib,19,4,1,Out,31-Mar-22,26,0,20,1,,
sib3_10,3,Sib,20,5,1,Out,31-Mar-22,26,3,106,1,,
sib4_01,4,Sib,1,1,4,Out,31-Mar-22,26,2,41,1,,
sib4_02,4,Sib,3,3,4,Out,31-Mar-22,26,1,53,1,,
sib4_03,4,Sib,5,5,4,Out,31-Mar-22,26,0,2,1,,
sib4_04,4,Sib,10,5,3,Out,31-Mar-22,26,1,30,1,,
sib4_05,4,Sib,11,2,1,Out,31-Mar-22,26,2,56,1,,
sib4_06,4,Sib,14,4,2,In,31-Mar-22,26,3,72,1,,
sib4_07,4,Sib,16,1,1,Out,31-Mar-22,26,0,21,1,,
sib4_08,4,Sib,18,3,1,Out,31-Mar-22,26,3,120,1,,
sib4_09,4,Sib,19,4,1,Out,31-Mar-22,26,0,17,1,,
sib4_10,4,Sib,20,5,1,Out,31-Mar-22,26,1,6,1,,
sib5_01,5,Sib,1,1,4,Out,31-Mar-22,26,3,93,1,,
sib5_02,5,Sib,2,2,4,Out,31-Mar-22,26,1,35,1,,
sib5_03,5,Sib,3,3,4,Out,31-Mar-22,26,3,51,1,,
sib5_04,5,Sib,9,4,3,In,31-Mar-22,26,3,90,1,,
sib5_05,5,Sib,11,2,1,Out,31-Mar-22,26,1,25,1,,
sib5_06,5,Sib,14,4,2,In,31-Mar-22,26,0,17,1,,
sib5_07,5,Sib,16,1,1,Out,31-Mar-22,26,1,28,1,,
sib5_08,5,Sib,18,3,1,Out,31-Mar-22,26,3,87,1,,
sib5_09,5,Sib,19,4,1,In,31-Mar-22,26,1,26,1,,
sib5_10,5,Sib,20,5,1,Out,31-Mar-22,26,2,53,1,,
sib6_01,6,Sib,2,2,4,Out,31-Mar-22,26,1,42,1,,
sib6_02,6,Sib,4,4,4,Out,31-Mar-22,26,0,15,1,,
sib6_03,6,Sib,7,2,3,In,31-Mar-22,26,1,31,1,,
sib6_04,6,Sib,8,3,3,In,31-Mar-22,26,1,37,1,,
sib6_05,6,Sib,9,4,3,In,31-Mar-22,26,0,20,1,,
sib6_06,6,Sib,10,5,3,Out,31-Mar-22,26,1,40,1,,
sib6_07,6,Sib,12,2,2,In,31-Mar-22,26,1,35,1,,
sib6_08,6,Sib,16,1,1,Out,31-Mar-22,26,0,21,1,,
sib6_09,6,Sib,18,3,1,Out,31-Mar-22,26,3,101,1,,
sib6_10,6,Sib,20,5,1,Out,31-Mar-22,26,3,119,1,,
sib7_01,7,Sib,1,1,4,Out,31-Mar-22,26,2,62,1,,
sib7_02,7,Sib,2,2,4,Out,31-Mar-22,26,1,42,1,,
sib7_03,7,Sib,4,4,4,Out,31-Mar-22,26,2,38,1,,
sib7_04,7,Sib,5,5,4,Out,31-Mar-22,26,0,15,1,,
sib7_05,7,Sib,8,3,3,In,31-Mar-22,26,1,32,1,,
sib7_06,7,Sib,9,4,3,In,31-Mar-22,26,0,18,1,,
sib7_07,7,Sib,10,5,3,Out,31-Mar-22,26,1,35,1,,
sib7_08,7,Sib,12,2,2,In,31-Mar-22,26,0,29,1,,
sib7_09,7,Sib,14,4,2,In,31-Mar-22,26,2,55,1,,
sib7_10,7,Sib,16,1,1,Out,31-Mar-22,26,1,48,1,,
sib9_01,9,Sib,3,3,4,Out,31-Mar-22,26,2,45,1,,
sib9_02,9,Sib,8,3,3,In,31-Mar-22,26,2,48,1,,
sib9_03,9,Sib,9,4,3,In,31-Mar-22,26,1,57,1,,
sib9_04,9,Sib,11,2,1,Out,31-Mar-22,26,1,58,1,,
sib9_05,9,Sib,12,2,2,In,31-Mar-22,26,1,31,1,,
sib9_06,9,Sib,13,3,2,In,31-Mar-22,26,0,22,1,,
sib9_07,9,Sib,16,1,1,Out,31-Mar-22,26,1,39,1,,
sib9_08,9,Sib,18,3,1,Out,31-Mar-22,26,0,23,1,,
sib9_09,9,Sib,19,4,1,Out,31-Mar-22,26,1,48,1,,
sib9_10,9,Sib,20,5,1,Out,31-Mar-22,26,2,62,1,,
