Colony,Block,Treatment,Position,Direction,X,Y,Time_days,Bifurcations,Zooids,rgr40,Offspring,Samples,Survival
01b,4,both,F,S,130,-1,0,4,174,,,,1
02a,3,both,D,C,110,0,0,5,244,,,,1
03a,3,both,E,N,110,0.15,0,4,212,,,,1
04a,1,both,D,C,10,0,0,3,125,,,,1
05b,4,far,C,N,120,1,0,4,154,,,,1
06a,4,near,H,S,150,-0.15,0,4,172,,,,1
07b,4,both,D,C,130,0,0,5,163,,,,1
08a,3,far,C,S,90,-1,0,5,224,,,,1
09a,2,both,F,S,40,-1,0,4,108,,,,1
10a,3,near,G,C,80,0,0,4,203,,,,1
11a,3,near,H,N,80,0.15,0,5,186,,,,1
12b,2,both,E,S,40,-0.15,0,3,106,,,,1
13b,3,alone,A,C,100,0,0,4,183,,,,1
14a,3,far,B,C,90,0,0,4,282,,,,1
15b,4,both,E,S,130,-0.15,0,4,177,,,,1
17a,4,alone,A,C,140,0,0,4,159,,,,1
18a,1,near,G,C,30,0,0,3,129,,,,1
19b,2,far,C,N,60,1,0,4,80,,,,1
20a,4,near,G,C,150,0,0,4,168,,,,1
21a,1,both,F,N,10,1,0,4,131,,,,1
22a,2,both,D,C,40,0,0,3,77,,,,1
23a,1,alone,A,C,20,0,0,4,144,,,,1
24a,2,far,B,C,60,0,0,3,81,,,,1
25b,1,near,H,N,30,0.15,0,4,125,,,,1
26a,4,far,B,C,120,0,0,5,168,,,,1
27b,1,both,E,N,10,0.15,0,4,120,,,,1
28a,2,near,G,C,70,0,0,3,101,,,,1
29b,1,far,C,S,0,-1,0,3,111,,,,1
30a,3,both,F,N,110,1,0,4,187,,,,1
31a,2,alone,A,C,50,0,0,3,108,,,,1
32a,2,near,H,S,70,-0.15,0,4,105,,,,1
34b,1,far,B,C,0,0,0,4,117,,,,1
01b,4,both,F,S,130,-1,13,9,,,,,1
02a,3,both,D,C,110,0,13,9,,,,,1
03a,3,both,E,N,110,0.15,13,9,,,,,1
04a,1,both,D,C,10,0,13,9,,,,,1
05b,4,far,C,N,120,1,13,9,,,,,1
06a,4,near,H,S,150,-0.15,13,9,,,,,1
07b,4,both,D,C,130,0,13,3,,,,,1
08a,3,far,C,S,90,-1,13,10,,,,,1
09a,2,both,F,S,40,-1,13,7,,,,,1
10a,3,near,G,C,80,0,13,9,,,,,1
11a,3,near,H,N,80,0.15,13,5,,,,,1
12b,2,both,E,S,40,-0.15,13,9,,,,,1
13b,3,alone,A,C,100,0,13,8,,,,,1
14a,3,far,B,C,90,0,13,9,,,,,1
15b,4,both,E,S,130,-0.15,13,9,,,,,1
17a,4,alone,A,C,140,0,13,10,,,,,1
18a,1,near,G,C,30,0,13,9,,,,,1
19b,2,far,C,N,60,1,13,8,,,,,1
20a,4,near,G,C,150,0,13,9,,,,,1
21a,1,both,F,N,10,1,13,8,,,,,1
22a,2,both,D,C,40,0,13,8,,,,,1
23a,1,alone,A,C,20,0,13,9,,,,,1
24a,2,far,B,C,60,0,13,0,,,,,0
25b,1,near,H,N,30,0.15,13,9,,,,,1
26a,4,far,B,C,120,0,13,10,,,,,1
27b,1,both,E,N,10,0.15,13,0,,,,,0
28a,2,near,G,C,70,0,13,9,,,,,1
29b,1,far,C,S,0,-1,13,9,,,,,1
30a,3,both,F,N,110,1,13,8,,,,,1
31a,2,alone,A,C,50,0,13,9,,,,,1
32a,2,near,H,S,70,-0.15,13,10,,,,,1
34b,1,far,B,C,0,0,13,8,,,,,1
01b,4,both,F,S,130,-1,20,,,,53,51,1
02a,3,both,D,C,110,0,20,,,,0,0,1
03a,3,both,E,N,110,0.15,20,,,,0,0,1
04a,1,both,D,C,10,0,20,,,,10,0,1
05b,4,far,C,N,120,1,20,,,,0,0,1
06a,4,near,H,S,150,-0.15,20,,,,202,73,1
07b,4,both,D,C,130,0,20,,,,0,0,1
08a,3,far,C,S,90,-1,20,,,,192,64,1
09a,2,both,F,S,40,-1,20,,,,0,0,1
10a,3,near,G,C,80,0,20,,,,0,0,1
11a,3,near,H,N,80,0.15,20,,,,0,0,1
12b,2,both,E,S,40,-0.15,20,,,,59,9,1
13b,3,alone,A,C,100,0,20,,,,44,100,1
14a,3,far,B,C,90,0,20,,,,0,0,1
15b,4,both,E,S,130,-0.15,20,,,,0,0,1
17a,4,alone,A,C,140,0,20,,,,97,96,1
18a,1,near,G,C,30,0,20,,,,41,27,1
19b,2,far,C,N,60,1,20,,,,125,119,1
20a,4,near,G,C,150,0,20,,,,0,0,1
21a,1,both,F,N,10,1,20,,,,0,0,1
22a,2,both,D,C,40,0,20,,,,6,0,1
23a,1,alone,A,C,20,0,20,,,,297,101,1
24a,2,far,B,C,60,0,20,,,,0,0,0
25b,1,near,H,N,30,0.15,20,,,,47,30,1
26a,4,far,B,C,120,0,20,,,,105,125,1
27b,1,both,E,N,10,0.15,20,,,,0,0,0
28a,2,near,G,C,70,0,20,,,,71,35,1
29b,1,far,C,S,0,-1,20,,,,42,61,1
30a,3,both,F,N,110,1,20,,,,57,110,1
31a,2,alone,A,C,50,0,20,,,,0,130,1
32a,2,near,H,S,70,-0.15,20,,,,0,0,1
34b,1,far,B,C,0,0,20,,,,31,24,1
01b,4,both,F,S,130,-1,24,,,,665,30,1
02a,3,both,D,C,110,0,24,,,,34,30,1
03a,3,both,E,N,110,0.15,24,,,,0,0,1
04a,1,both,D,C,10,0,24,,,,43,30,1
05b,4,far,C,N,120,1,24,,,,0,0,1
06a,4,near,H,S,150,-0.15,24,,,,245,30,1
07b,4,both,D,C,130,0,24,,,,0,0,1
08a,3,far,C,S,90,-1,24,,,,174,30,1
09a,2,both,F,S,40,-1,24,,,,2,5,1
10a,3,near,G,C,80,0,24,,,,0,0,1
11a,3,near,H,N,80,0.15,24,,,,0,0,1
12b,2,both,E,S,40,-0.15,24,,,,98,30,1
13b,3,alone,A,C,100,0,24,,,,0,0,1
14a,3,far,B,C,90,0,24,,,,0,0,1
15b,4,both,E,S,130,-0.15,24,,,,68,30,1
17a,4,alone,A,C,140,0,24,,,,237,30,1
18a,1,near,G,C,30,0,24,,,,176,30,1
19b,2,far,C,N,60,1,24,,,,308,30,1
20a,4,near,G,C,150,0,24,,,,100,33,1
21a,1,both,F,N,10,1,24,,,,157,30,1
22a,2,both,D,C,40,0,24,,,,43,30,1
23a,1,alone,A,C,20,0,24,,,,443,60,1
24a,2,far,B,C,60,0,24,,,,0,0,0
25b,1,near,H,N,30,0.15,24,,,,40,30,1
26a,4,far,B,C,120,0,24,,,,276,0,1
27b,1,both,E,N,10,0.15,24,,,,0,0,0
28a,2,near,G,C,70,0,24,,,,293,30,1
29b,1,far,C,S,0,-1,24,,,,346,30,1
30a,3,both,F,N,110,1,24,,,,372,30,1
31a,2,alone,A,C,50,0,24,,,,129,30,1
32a,2,near,H,S,70,-0.15,24,,,,0,0,1
34b,1,far,B,C,0,0,24,,,,0,0,1
01b,4,both,F,S,130,-1,28,,,,655,30,1
02a,3,both,D,C,110,0,28,,,,21,21,1
03a,3,both,E,N,110,0.15,28,,,,3,2,1
04a,1,both,D,C,10,0,28,,,,51,23,1
05b,4,far,C,N,120,1,28,,,,15,12,1
06a,4,near,H,S,150,-0.15,28,,,,819,30,1
07b,4,both,D,C,130,0,28,,,,0,0,1
08a,3,far,C,S,90,-1,28,,,,370,30,1
09a,2,both,F,S,40,-1,28,,,,36,12,1
10a,3,near,G,C,80,0,28,,,,0,0,1
11a,3,near,H,N,80,0.15,28,,,,0,0,1
12b,2,both,E,S,40,-0.15,28,,,,359,30,1
13b,3,alone,A,C,100,0,28,,,,531,30,1
14a,3,far,B,C,90,0,28,,,,0,0,1
15b,4,both,E,S,130,-0.15,28,,,,312,30,1
17a,4,alone,A,C,140,0,28,,,,657,60,1
18a,1,near,G,C,30,0,28,,,,535,37,1
19b,2,far,C,N,60,1,28,,,,461,30,1
20a,4,near,G,C,150,0,28,,,,192,30,1
21a,1,both,F,N,10,1,28,,,,165,30,1
22a,2,both,D,C,40,0,28,,,,137,7,1
23a,1,alone,A,C,20,0,28,,,,695,27,1
24a,2,far,B,C,60,0,28,,,,0,0,0
25b,1,near,H,N,30,0.15,28,,,,532,30,1
26a,4,far,B,C,120,0,28,,,,727,30,1
27b,1,both,E,N,10,0.15,28,,,,0,0,0
28a,2,near,G,C,70,0,28,,,,714,30,1
29b,1,far,C,S,0,-1,28,,,,558,30,1
30a,3,both,F,N,110,1,28,,,,457,30,1
31a,2,alone,A,C,50,0,28,,,,260,30,1
